Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-03-16 09:52:00+05:30,54078.85,54104.4,54065.05,54070.05,0,4127976.0,54084.72,223260445154.11,16226379495469.5,301136184.0,53883.86,53828.75,53814.98,53801.2,54146.84,57.6,56.27,66.86,66.86,54063.71,54048.6,54073.86,53991.27,53991.27,54148.22,53999.5,54111.04,54036.68,53893.1,54148.71,54020.9,53888.01,True,False,False,False,False,False,WAIT
2026-03-16 09:53:00+05:30,54035.4,54085.85,54034.1,54077.6,0,3366888.0,54059.98,182013886368.56,16408393381838.06,304503072.0,53885.81,53829.92,53815.95,53801.98,54142.06,47.64,51.95,10.51,10.51,54058.78,54047.19,54075.48,53993.46,53993.46,54144.55,54006.41,54110.02,54040.95,53879.95,54105.24,53992.6,53875.64,False,False,False,False,False,False,WAIT
2026-03-16 09:54:00+05:30,54003.1,54043.15,53998.8,54038.1,0,4517976.0,54020.97,244065466781.77,16652458848619.83,309021048.0,53887.78,53831.11,53816.94,53802.77,54137.47,41.62,46.79,4.07,4.07,54047.81,54042.5,54073.71,53993.93,53993.93,54148.36,53999.06,54111.04,54036.39,53888.52,54014.0,53951.26,53856.14,False,False,False,False,False,False,WAIT
2026-03-16 09:55:00+05:30,54017.65,54026.8,53997.4,54000.55,0,4561848.0,54012.1,246394988578.83,16898853837198.66,313582896.0,53889.59,53832.19,53817.84,53803.49,54129.15,45.13,45.96,18.93,18.93,54041.69,54039.85,54073.66,53995.09,53995.09,54148.48,53998.83,54111.07,54036.24,53887.83,54020.1,53953.97,53854.48,False,False,False,False,False,False,WAIT
2026-03-16 09:56:00+05:30,53983.6,54018.35,53976.45,54018.35,0,3369084.0,53997.4,181921777697.65,17080775614896.3,316951980.0,53890.74,53832.88,53818.42,53803.95,54118.61,38.96,42.46,6.54,6.54,54023.72,54033.88,54068.82,53994.53,53994.53,54153.68,53983.97,54111.25,54026.4,53864.0,53913.68,53888.84,53844.35,False,False,False,False,False,False,WAIT
2026-03-16 09:57:00+05:30,53982.9,54021.95,53976.0,53985.15,0,5044668.0,53998.97,272406899244.73,17353182514141.03,321996648.0,53892.43,53833.9,53819.26,53804.63,54104.39,38.84,40.65,10.28,10.28,54004.53,54028.46,54062.28,53993.98,53993.98,54152.54,53972.02,54107.41,54017.15,53870.85,53866.97,53868.91,53845.14,True,False,False,False,False,False,WAIT
2026-03-16 09:58:00+05:30,53950.7,53986.75,53949.2,53981.15,0,3262428.0,53967.97,176066631468.91,17529249145609.94,325259076.0,53893.19,53834.35,53819.64,53804.93,54088.99,33.39,37.02,1.93,1.93,53987.59,54020.22,54054.11,53991.93,53991.93,54153.71,53954.5,54103.91,54004.31,53865.39,53833.57,53849.48,53829.64,False,False,False,False,False,False,WAIT
2026-03-16 09:59:00+05:30,53879.15,53945.8,53875.9,53945.8,0,6458604.0,53910.85,348188828930.51,17877437974540.45,331717680.0,53893.53,53834.56,53819.81,53805.07,54069.42,24.72,30.87,2.23,2.23,53962.8,54005.27,54045.84,53986.63,53986.63,54172.56,53919.12,54109.2,53982.48,53857.44,53883.61,53870.52,53801.08,False,False,False,False,True,False,WAIT
2026-03-16 10:00:00+05:30,53920.7,53928.75,53880.85,53880.85,0,5347476.0,53904.8,288254628462.52,18165692603002.97,337065156.0,53893.71,53834.67,53819.9,53805.14,54038.45,35.64,33.25,30.67,30.67,53943.41,53996.31,54036.78,53983.56,53983.56,54172.25,53901.32,54104.52,53969.05,53876.67,53931.98,53904.32,53806.0,False,False,False,False,True,False,WAIT
2026-03-16 10:01:00+05:30,53875.75,53942.3,53875.0,53925.15,0,7055640.0,53908.65,380360030042.11,18546052633045.08,344120796.0,53894.02,53834.85,53820.06,53805.26,54012.44,30.29,31.77,0.67,0.67,53921.84,53983.55,54023.27,53978.57,53978.57,54166.55,53879.99,54094.91,53951.63,53867.68,53895.34,53881.51,53799.98,False,False,False,False,True,False,WAIT
