Date,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-02-10 05:30:00+05:30,25935.15,25989.45,25870.45,25922.65,460900,25553098120.0,25929.95,662590536633336.1,662590536633336.1,25553098120.0,25929.95,25142.06,24945.09,24748.11,24839.06,61.85,59.2,89.09,89.09,25782.99,25615.27,25509.26,25653.21,25653.21,26070.1,24948.41,25789.68,25228.83,25215.76,25668.36,26120.95,True,346.34,25553.49,25935.15,25744.32,,,,True,False,False,False,True,False,WAIT
2026-02-11 05:30:00+05:30,25953.85,26009.4,25899.8,25997.45,331400,19378868135.0,25954.6,502970782251476.56,502970782251476.56,19378868135.0,25954.6,25156.85,24957.41,24757.98,24869.11,62.43,60.81,89.27,89.27,25818.56,25651.84,25517.44,25669.3,25669.3,26099.9,24934.98,25808.67,25226.21,25270.4,25695.55,26120.69,True,347.36,25596.14,25392.01,25494.08,,,,False,True,False,False,True,False,WAIT
2026-02-12 05:30:00+05:30,25807.2,25906.7,25752.4,25906.7,419400,23900708040.0,25829.55,617344528686475.0,617344528686475.0,23900708040.0,25829.55,25081.82,24894.89,24707.95,24898.55,55.03,57.92,21.32,21.32,25851.44,25668.58,25521.18,25676.57,25676.57,26110.38,24931.98,25815.78,25226.58,25292.75,25706.18,26119.61,True,193.52,25596.14,25392.01,25494.08,,,,False,False,False,False,True,False,WAIT
2026-02-13 05:30:00+05:30,25471.1,25630.35,25444.3,25571.15,453500,25362969940.0,25537.33,647702411276715.6,647702411276715.6,25362969940.0,25537.33,24906.48,24748.77,24591.06,24927.4,42.14,50.03,4.74,4.74,25806.92,25647.36,25511.46,25665.88,25665.88,26097.03,24925.89,25804.24,25218.67,25257.89,25683.79,26109.69,True,-126.52,25596.14,25392.01,25494.08,,,,False,False,False,False,True,False,WAIT
2026-02-16 05:30:00+05:30,25682.75,25697.0,25372.7,25423.6,275800,15310333005.0,25534.85,390947050752125.44,390947050752125.44,15310333005.0,25534.85,24905.0,24747.54,24590.07,24955.68,50.37,50.2,48.7,48.7,25770.01,25651.15,25510.88,25666.75,25666.75,26095.71,24926.05,25803.29,25218.46,25252.02,25683.69,26115.36,True,85.47,25596.14,25392.01,25494.08,,,,False,False,False,False,True,False,WAIT
2026-02-17 05:30:00+05:30,25725.4,25764.4,25570.3,25637.95,344100,19596180670.0,25667.35,502982039402261.6,502982039402261.6,19596180670.0,25667.35,24984.5,24813.79,24643.08,24983.39,51.92,51.06,66.05,66.05,25728.06,25659.1,25517.87,25669.72,25669.72,26109.77,24925.98,25813.82,25221.93,25269.38,25687.66,26105.95,False,122.63,25596.14,25392.01,25494.08,,,,False,False,False,False,True,False,WAIT
2026-02-18 05:30:00+05:30,25819.35,25828.05,25645.15,25752.65,310200,17746940145.0,25736.6,456745910134404.75,456745910134404.75,17746940145.0,25736.6,25026.05,24848.41,24670.78,25010.54,55.38,53.22,98.09,98.09,25701.16,25676.22,25547.22,25677.23,25677.23,26137.73,24956.7,25842.47,25251.96,25295.63,25700.21,26104.78,False,195.64,25629.89,25392.01,25510.95,,,,False,True,False,False,True,False,WAIT
2026-02-19 05:30:00+05:30,25454.35,25885.3,25388.75,25873.35,298200,16954987390.0,25637.03,434675442215156.75,434675442215156.75,16954987390.0,25637.03,24966.31,24798.62,24630.94,25037.16,42.14,47.68,15.93,15.93,25630.59,25652.55,25562.06,25666.17,25666.17,26125.63,24998.48,25843.84,25280.27,25239.81,25676.79,26113.77,False,-165.07,25629.89,25392.01,25510.95,,,,False,False,False,False,True,False,WAIT
2026-02-20 05:30:00+05:30,25571.25,25663.55,25379.75,25406.55,296600,17202391910.0,25521.65,439033432209535.8,439033432209535.8,17202391910.0,25521.65,24897.08,24740.94,24584.79,25063.24,46.73,47.21,37.88,37.88,25650.62,25643.89,25576.12,25661.5,25661.5,26124.95,25027.3,25850.54,25301.71,25230.83,25666.74,26102.65,False,-50.18,25629.89,25392.01,25510.95,,,,False,False,False,False,True,False,WAIT
2026-02-23 05:30:00+05:30,25713.0,25771.45,25609.35,25678.4,313700,18036680145.0,25690.4,463369517028740.75,463369517028740.75,18036680145.0,25690.4,24998.33,24825.31,24652.29,25088.8,51.93,49.57,65.92,65.92,25656.67,25651.24,25609.34,25664.01,25664.01,26101.21,25117.48,25855.27,25363.41,25248.15,25671.14,26094.14,False,72.76,25629.89,25392.01,25510.95,,,,False,False,False,False,True,False,WAIT
2026-02-24 05:30:00+05:30,25424.65,25641.8,25327.6,25641.8,439100,25020277040.0,25484.7,637634259168060.9,637634259168060.9,25020277040.0,25484.7,24874.91,24722.46,24570.01,25113.85,42.45,46.01,17.4,17.4,25596.52,25627.17,25621.8,25652.47,25652.47,26078.77,25164.84,25850.29,25393.32,25209.9,25647.67,26085.43,True,-210.09,25629.89,25392.01,25510.95,,,,False,False,False,False,True,False,SELL
2026-02-25 05:30:00+05:30,25482.5,25652.6,25428.2,25512.6,414200,23476464550.0,25540.4,599598281437079.0,599598281437079.0,23476464550.0,25540.4,24908.33,24750.31,24592.29,25138.39,44.73,45.37,34.9,34.9,25529.15,25611.81,25628.79,25644.35,25644.35,26071.85,25185.73,25850.32,25407.26,25203.3,25631.94,26060.58,False,-147.87,25629.89,25392.01,25510.95,,,,True,False,False,False,True,False,SELL
2026-02-26 05:30:00+05:30,25496.55,25572.95,25400.95,25556.3,405200,23347934885.0,25486.95,595067630776676.6,595067630776676.6,23347934885.0,25486.95,24876.26,24723.59,24570.91,25162.45,45.32,45.34,38.06,38.06,25537.59,25599.59,25632.68,25637.35,25637.35,26069.3,25196.05,25850.99,25414.36,25206.66,25619.04,26031.43,False,-129.31,25629.89,25392.01,25510.95,,,,False,True,False,False,True,False,SELL
2026-02-27 05:30:00+05:30,25178.65,25476.4,25141.3,25459.85,438900,25430774985.0,25308.85,643623684379962.0,643623684379962.0,25430774985.0,25308.85,24769.4,24634.54,24499.68,26341.2,35.62,40.48,7.3,7.3,25459.07,25554.98,25625.58,25615.8,25615.8,26087.45,25163.7,25856.51,25394.64,25153.24,25577.1,26000.96,True,-422.69,25178.65,25392.01,25285.33,,,,False,False,False,False,True,False,SELL
2026-03-02 05:30:00+05:30,24865.7,24989.35,24603.5,24659.25,519200,29621564775.0,24796.42,734508903540467.5,734508903540467.5,29621564775.0,24796.42,24461.94,24378.32,24294.7,26317.2,28.79,34.64,24.99,24.99,25289.61,25481.98,25614.44,25580.84,25580.84,26137.53,25091.35,25875.98,25352.9,25043.69,25509.35,25975.01,True,-696.19,25150.97,25392.01,25271.49,,,,False,False,False,False,True,False,SELL
2026-03-04 05:30:00+05:30,24480.5,24602.45,24305.4,24388.8,599000,33919358880.0,24453.92,829461451474729.2,829461451474729.2,33919358880.0,24453.92,24256.44,24207.07,24157.7,26248.65,22.75,28.7,13.81,13.81,25100.78,25376.0,25552.09,25529.92,25529.92,26276.83,24827.34,25914.46,25189.71,24910.01,25411.36,25912.72,False,-1001.23,24829.06,24480.5,24654.78,,,,False,False,False,False,True,False,SELL
2026-03-05 05:30:00+05:30,24765.9,24854.2,24529.4,24615.95,504300,28689829850.0,24691.8,708403535086747.6,708403535086747.6,28689829850.0,24691.8,24399.17,24326.01,24252.85,26132.06,34.25,31.47,39.33,39.33,24957.46,25311.47,25501.58,25494.81,25494.81,26297.88,24705.29,25899.73,25103.43,24842.9,25349.89,25856.88,False,-659.84,24829.06,25125.22,24977.14,,,,False,False,False,False,True,False,SELL
2026-03-06 05:30:00+05:30,24450.45,24700.9,24415.75,24656.4,433400,24493252190.0,24558.33,601513252372820.1,601513252372820.1,24493252190.0,24558.33,24319.08,24259.27,24199.46,26022.46,28.9,30.19,21.21,21.21,24748.24,25220.44,25441.96,25447.14,25447.14,26362.58,24521.35,25902.27,24981.66,24755.5,25264.23,25772.96,False,-902.65,24814.03,25110.2,24962.12,,,,False,False,False,False,True,False,SELL
2026-03-09 05:30:00+05:30,24028.05,24078.15,23697.8,23868.05,526900,31261193150.0,23887.98,746766618754476.6,746766618754476.6,31261193150.0,23887.98,23931.32,23924.1,23916.88,25919.44,23.4,26.79,28.56,28.56,24518.12,25094.44,25358.68,25567.13,25382.78,26465.87,24251.5,25912.28,24805.09,24578.7,25146.5,25714.3,False,-1224.54,24374.96,24667.36,24521.16,,,,False,False,False,True,True,True,SELL
