,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-05-25 11:30:00+05:30,23986.6,23992.7,23959.9,23978.45,0,1130922100,23976.3,27115327325346.78,215793752580556.3,9004288975,23965.66,23973.69,23972.35,23971.01,23737.87,71.5,70.72,85.59,85.59,23967.52,23856.93,23825.43,23781.0,23781.0,24033.73,23617.13,23929.58,23721.28,23754.64,23842.61,23930.58,False,152.58,23916.98,23862.23,23889.6,,,,False,True,True,True,True,True,BUY
2026-05-25 12:00:00+05:30,23956.5,23988.15,23955.9,23988.15,0,1402224340,23972.03,33614157481832.38,249407910062388.7,10406513315,23966.52,23974.03,23972.78,23971.53,23748.18,65.0,67.86,1.51,1.51,23971.39,23867.47,23840.81,23789.18,23789.18,24039.41,23642.21,23940.11,23741.51,23769.26,23853.46,23937.66,False,109.36,23916.98,23862.78,23889.88,,,,False,False,False,True,True,True,WAIT
2026-05-25 12:30:00+05:30,23954.4,23967.65,23935.6,23957.85,0,1125471380,23951.62,26956868441992.5,276364778504381.2,11531984695,23965.07,23973.45,23972.05,23970.66,23758.07,64.54,66.2,32.92,32.92,23970.56,23876.67,23851.6,23796.83,23796.83,24050.27,23652.94,23950.94,23752.27,23782.31,23863.07,23943.83,False,97.06,23916.98,23862.78,23889.88,,,,False,True,False,False,True,False,WAIT
2026-05-25 13:00:00+05:30,23984.1,23986.25,23947.3,23955.55,0,1230147545,23966.78,29482669908343.76,305847448412724.94,12762132240,23965.23,23973.52,23972.13,23970.75,23767.57,68.13,67.17,84.94,84.94,23971.75,23888.04,23861.82,23805.43,23805.43,24065.87,23657.78,23963.85,23759.8,23795.96,23874.6,23953.23,False,115.89,23916.98,23864.2,23890.59,,,,False,False,False,True,True,True,BUY
2026-05-25 13:30:00+05:30,23965.35,23991.0,23962.2,23986.55,0,945894125,23976.6,22679324707985.11,328526773120710.06,13708026365,23966.02,23973.83,23972.53,23971.22,23776.69,63.56,65.36,53.7,53.7,23969.39,23896.21,23872.02,23812.73,23812.73,24075.32,23668.72,23973.67,23770.37,23807.98,23883.24,23958.5,False,87.72,23945.1,23872.21,23908.66,,,,False,False,False,True,True,True,WAIT
2026-05-25 14:00:00+05:30,23978.15,23982.85,23955.25,23966.95,0,1139799210,23969.05,27319904031833.47,355846677152543.5,14847825575,23966.25,23973.92,23972.64,23971.36,23785.45,65.34,65.35,76.81,76.81,23967.7,23904.87,23881.89,23749.23,23820.23,24085.7,23678.08,23983.8,23779.98,23820.25,23892.28,23964.31,False,91.07,23945.1,23872.21,23908.66,,,,False,False,False,True,True,True,BUY
2026-05-25 14:30:00+05:30,24035.0,24036.45,23976.45,23979.0,0,1475267200,24006.45,35415927120887.5,391262604273431.06,16323092775,23969.88,23975.38,23974.46,23973.54,23793.85,72.17,68.76,98.37,98.37,23983.4,23918.61,23895.7,23760.38,23829.91,24101.82,23689.57,23998.76,23792.63,23832.13,23905.87,23979.62,False,134.22,23986.43,23911.93,23949.18,,17832.85,,False,False,False,False,False,True,BUY
2026-05-25 15:00:00+05:30,24049.9,24054.4,24021.1,24035.75,0,2545825150,24037.75,61195908499412.5,452458512772843.5,18868917925,23979.04,23979.04,23979.04,23979.04,23808.41,73.69,71.23,95.46,95.46,24002.5,23932.48,23907.95,23770.54,23839.77,24120.37,23695.52,24014.16,23801.74,23848.11,23919.59,23991.07,False,136.13,24009.94,23937.09,23973.52,12196.47,17832.85,,False,False,False,False,False,False,BUY
2026-05-26 09:00:00+05:30,24034.1,24041.2,23966.75,23999.45,0,1459466305,24003.97,35032992128458.35,35032992128458.35,1459466305,24003.97,23994.0,23991.51,23989.01,23828.09,69.17,70.2,79.53,79.53,24012.5,23943.2,23920.92,23780.82,23848.43,24130.75,23711.08,24025.83,23816.0,23853.94,23930.5,24007.05,False,108.39,24009.94,23937.09,23973.52,12179.93,17832.85,,False,False,False,True,True,True,BUY
2026-05-26 09:30:00+05:30,24028.75,24076.9,24014.55,24034.4,0,1772858395,24045.73,42629666468895.6,77662658597353.94,3232324700,24026.87,24007.74,24002.96,23998.17,23846.19,67.59,68.89,56.29,56.29,24025.18,23952.23,23930.98,23790.47,23856.43,24141.25,23720.71,24036.12,23825.84,23861.69,23939.85,24018.02,False,93.33,24009.94,23942.7,23976.32,12179.93,17832.85,,True,False,False,False,True,False,BUY
2026-05-26 10:00:00+05:30,24071.4,24076.15,24021.2,24029.75,0,1623087950,24048.67,39033114288956.88,116695772886310.81,4855412650,24034.16,24012.11,24006.6,24001.09,23869.26,73.1,71.0,95.01,95.01,24043.83,23964.8,23944.08,23799.92,23865.91,24155.1,23733.06,24049.59,23838.57,23873.81,23952.38,24030.95,False,123.17,24020.69,23953.81,23987.25,12179.93,17832.85,,False,False,False,False,True,False,BUY
2026-05-26 10:30:00+05:30,24071.85,24089.55,24065.3,24070.0,0,1140686195,24077.43,27464787199808.96,144160560086119.78,5996098845,24042.39,24017.05,24010.72,24004.38,23890.03,73.16,72.08,85.59,85.59,24051.2,23976.09,23958.06,23809.18,23874.94,24163.7,23752.43,24060.88,23855.25,23889.21,23963.76,24038.31,False,110.94,24028.71,23969.36,23999.03,12179.93,17832.85,,True,False,False,False,False,False,BUY
2026-05-26 11:00:00+05:30,24044.8,24082.65,24044.8,24070.7,0,1214532495,24063.73,29226176674884.01,173386736761003.8,7210631340,24045.99,24019.21,24012.51,24005.82,23913.97,64.38,68.23,40.33,40.33,24050.18,23983.34,23973.34,23818.31,23882.36,24154.48,23792.2,24063.91,23882.77,23898.62,23971.48,24044.34,False,72.39,24028.71,23969.36,23999.03,12179.93,17882.76,,False,False,False,False,True,False,WAIT
2026-05-26 11:30:00+05:30,24039.95,24071.9,24026.2,24044.95,0,1143527990,24049.05,27500761584564.19,200887498345568.0,8354159330,24046.4,24019.46,24012.72,24005.99,23935.04,62.86,65.54,27.43,27.43,24051.35,23989.31,23989.12,23826.86,23889.22,24129.31,23848.92,24059.21,23919.02,23905.55,23978.0,24050.45,False,56.39,24028.71,23969.36,23999.03,12179.93,17850.55,,True,False,False,False,True,False,WAIT
2026-05-26 12:00:00+05:30,24021.9,24043.65,24017.45,24040.2,0,1439658715,24030.55,34595790452559.9,235483288798127.9,9793818045,24044.07,24018.06,24011.56,24005.05,23953.58,57.2,61.37,6.17,6.17,24049.98,23992.74,24002.77,23835.96,23894.96,24086.1,23919.44,24044.43,23961.1,23912.89,23982.18,24051.47,True,29.43,24028.71,23969.36,23999.03,12179.93,17856.82,,False,False,False,True,False,False,WAIT
2026-05-26 12:30:00+05:30,23998.55,24036.4,23971.6,24021.85,0,1619618055,24004.0,38877311792220.0,274360600590347.88,11413436100,24038.39,24014.65,24008.71,24002.78,23969.9,50.58,55.97,24.27,24.27,24035.41,23993.35,24003.62,23843.39,23899.43,24086.38,23920.85,24045.0,23962.23,23911.79,23983.74,24055.69,True,4.87,24028.71,23969.36,23999.03,12175.4,17863.82,,False,False,False,True,False,True,WAIT
2026-05-26 13:00:00+05:30,23987.5,24001.95,23959.2,23998.65,0,1364496485,23980.57,32721409229766.0,307082009820113.9,12777932585,24032.21,24010.94,24005.63,24000.31,24089.55,47.64,51.81,25.11,25.11,24018.54,23992.74,24006.13,23849.82,23903.21,24083.26,23929.01,24044.69,23967.57,23912.89,23984.1,24055.3,True,-7.61,24028.71,23969.36,23999.03,12162.97,17863.82,,False,True,True,True,False,True,WAIT
2026-05-26 13:30:00+05:30,23937.2,23999.25,23934.3,23987.45,0,1263223280,23966.78,30275388619968.6,337357398440082.5,14041155865,24026.33,24007.41,24002.68,23997.95,24086.94,36.72,44.26,2.65,2.65,23997.02,23986.89,24005.06,23854.97,23904.67,24085.48,23924.65,24045.27,23964.86,23905.93,23979.63,24053.33,True,-55.15,23937.2,23969.36,23953.28,12156.29,17863.82,,False,False,False,True,False,True,WAIT
2026-05-26 14:00:00+05:30,23922.6,23940.7,23907.35,23937.35,0,1637602340,23924.02,39178038362685.88,376535436802768.4,15678758205,24015.64,24001.0,23997.34,23993.68,24080.84,34.16,39.21,11.82,11.82,23973.55,23980.11,24002.29,23860.14,23905.43,24090.11,23914.46,24046.2,23958.37,23902.75,23974.2,24045.65,True,-65.64,23967.18,23969.36,23968.27,12133.63,17863.82,,False,True,False,False,False,False,WAIT
2026-05-26 14:30:00+05:30,23891.4,23934.0,23891.4,23923.0,0,1174725860,23912.7,28090867301860.64,404626304104628.94,16853484065,24008.47,23996.7,23993.75,23990.81,24070.43,29.26,34.24,0.0,0.0,23947.45,23970.77,23998.0,23862.82,23904.84,24098.46,23897.54,24048.23,23947.77,23895.58,23966.31,24037.04,True,-90.76,23944.54,23969.36,23956.95,12128.22,17863.82,,False,False,False,False,False,False,WAIT
