Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kUpperBand,kMiddleLine,kLowerBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,PREHIGH,PRELOW,PIVOT,R1,R2,R3,S3,S2,S1,UpBB2IRB,LowBB2IRB,UpBB1IRB,LowBB1IRB,SMA5IRB,TOP1VOL,TOP2VOL,TOP3VOL,BUYORSELL
2026-03-24 12:15:00+05:30,22844.45,22935.55,22753.35,22761.9,0,1361885800,22844.45,31111532329803.32,302041383010699.7,13273454095,22755.3,22847.5,22832.14,22816.77,22561.7,65.61,62.8,56.83,56.83,22779.19,22708.25,22686.59,22656.02,22656.02,22885.74,22487.43,22786.16,22587.01,22873.38,22701.4,22529.42,False,150.46,22875.21,23091.16,22983.18,22774.43,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 12:30:00+05:30,22955.2,22988.85,22843.4,22844.15,0,1340861995,22916.12,30727361085169.38,332768744095869.06,14614316090,22770.05,22853.41,22839.51,22825.62,22576.66,72.73,67.77,86.15,86.15,22824.53,22734.58,22704.36,22670.88,22670.88,22932.25,22476.48,22818.31,22590.42,22903.5,22725.57,22547.65,False,240.23,22956.53,23253.43,23104.98,22829.8,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 12:45:00+05:30,22974.4,23025.2,22952.85,22956.95,0,1335493445,22989.02,30701691411925.44,363470435507794.5,15949809535,22788.39,22860.74,22848.68,22836.62,22601.39,73.79,70.78,81.31,81.31,22868.48,22760.13,22722.15,22685.79,22685.79,22975.93,22468.37,22849.04,22595.26,22925.53,22749.27,22573.01,False,238.69,22961.68,23164.81,23063.25,22846.71,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,BUY
2026-03-24 13:00:00+05:30,22990.5,22990.5,22911.35,22974.6,0,882644235,22950.92,20257501466775.92,383727936974570.4,16832453770,22796.91,22864.15,22852.94,22841.74,22635.29,74.72,72.75,87.24,87.24,22905.2,22784.63,22741.12,22700.61,22700.61,23015.81,22466.42,22878.46,22603.77,22947.61,22772.24,22596.88,False,233.82,22955.33,23176.1,23065.71,22847.45,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 13:15:00+05:30,23021.95,23025.65,22958.4,22990.75,0,813347150,22992.03,18700498324192.48,402428435298762.94,17645800920,22805.9,22867.75,22857.44,22847.13,22666.49,76.54,74.64,97.97,97.97,22957.3,22809.85,22762.26,22716.1,22716.1,23055.4,22469.11,22908.83,22615.68,22969.35,22796.03,22622.7,False,242.81,22977.08,23245.38,23111.23,22863.18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 13:30:00+05:30,23037.5,23057.1,22999.85,23021.2,0,925054790,23028.47,21302600743795.72,423731036042558.6,18570855710,22816.99,22872.18,22862.98,22853.78,22702.4,77.44,76.04,86.55,86.55,22995.91,22834.02,22783.41,22731.45,22731.45,23092.28,22474.53,22937.85,22628.97,22989.41,22819.02,22648.64,False,236.28,22979.8,23254.14,23116.97,22870.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 13:45:00+05:30,22976.2,23047.9,22950.6,23037.6,0,997836510,22999.25,22949491352617.5,446680527395176.2,19568692220,22826.28,22875.9,22867.63,22859.36,22744.97,66.14,71.09,44.49,44.49,23000.11,22849.1,22806.75,22743.04,22743.04,23098.49,22515.02,22952.62,22660.89,23005.59,22833.99,22662.4,False,155.83,22925.68,23128.16,23026.92,22851.82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-24 14:00:00+05:30,22992.35,22995.75,22954.25,22975.25,0,765061110,22975.0,17577279002250.0,464257806397426.2,20333753330,22831.88,22878.14,22870.43,22862.72,22782.42,67.55,69.32,39.2,39.2,23003.7,22864.28,22831.74,22754.76,22754.76,23094.35,22569.13,22963.04,22700.44,23016.24,22849.07,22681.91,False,151.94,22912.28,23123.03,23017.66,22848.38,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,WAIT
2026-03-24 14:15:00+05:30,22945.6,23037.9,22920.0,22993.2,0,1013394855,22978.95,23286749901230.94,487544556298657.06,21347148185,22838.86,22880.93,22873.92,22866.91,22815.38,59.51,64.42,18.67,18.67,22994.72,22872.89,22837.02,22763.65,22763.65,23104.53,22569.52,22970.78,22703.27,23028.86,22858.27,22687.67,False,97.95,22903.06,23059.61,22981.33,22841.68,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-24 14:30:00+05:30,22909.65,22959.4,22882.65,22945.1,0,1130849720,22921.03,25920235145101.17,513464791443758.25,22477997905,22842.99,22882.58,22875.98,22869.39,22844.39,53.96,59.19,16.34,16.34,22972.26,22876.78,22845.27,22770.41,22770.41,23110.96,22579.57,22978.12,22712.42,23032.9,22863.16,22693.42,False,55.44,22834.45,23011.68,22923.06,22812.71,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
